Actual,holdout_id,name,value
1,1,pred_ada,1
1,1,pred_glm,1
1,1,pred_glmaic,1
1,1,pred_rf,1
1,1,pred_svm,1
1,2,pred_ada,1
1,2,pred_glm,1
1,2,pred_glmaic,1
1,2,pred_rf,1
1,2,pred_svm,1
-1,3,pred_ada,1
-1,3,pred_glm,1
-1,3,pred_glmaic,1
-1,3,pred_rf,1
-1,3,pred_svm,1
-1,4,pred_ada,1
-1,4,pred_glm,1
-1,4,pred_glmaic,1
-1,4,pred_rf,1
-1,4,pred_svm,1
-1,5,pred_ada,1
-1,5,pred_glm,1
-1,5,pred_glmaic,1
-1,5,pred_rf,1
-1,5,pred_svm,1
1,6,pred_ada,1
1,6,pred_glm,1
1,6,pred_glmaic,1
1,6,pred_rf,1
1,6,pred_svm,1
-1,7,pred_ada,1
-1,7,pred_glm,-1
-1,7,pred_glmaic,-1
-1,7,pred_rf,1
-1,7,pred_svm,1
-1,8,pred_ada,-1
-1,8,pred_glm,1
-1,8,pred_glmaic,1
-1,8,pred_rf,-1
-1,8,pred_svm,1
1,9,pred_ada,1
1,9,pred_glm,1
1,9,pred_glmaic,1
1,9,pred_rf,1
1,9,pred_svm,1
1,10,pred_ada,1
1,10,pred_glm,1
1,10,pred_glmaic,1
1,10,pred_rf,1
1,10,pred_svm,1
-1,11,pred_ada,1
-1,11,pred_glm,1
-1,11,pred_glmaic,1
-1,11,pred_rf,1
-1,11,pred_svm,1
-1,12,pred_ada,1
-1,12,pred_glm,1
-1,12,pred_glmaic,1
-1,12,pred_rf,1
-1,12,pred_svm,1
-1,13,pred_ada,1
-1,13,pred_glm,1
-1,13,pred_glmaic,1
-1,13,pred_rf,1
-1,13,pred_svm,1
-1,14,pred_ada,1
-1,14,pred_glm,1
-1,14,pred_glmaic,1
-1,14,pred_rf,1
-1,14,pred_svm,1
1,15,pred_ada,-1
1,15,pred_glm,1
1,15,pred_glmaic,1
1,15,pred_rf,-1
1,15,pred_svm,1
-1,16,pred_ada,1
-1,16,pred_glm,1
-1,16,pred_glmaic,-1
-1,16,pred_rf,1
-1,16,pred_svm,1
1,17,pred_ada,1
1,17,pred_glm,1
1,17,pred_glmaic,1
1,17,pred_rf,1
1,17,pred_svm,1
1,18,pred_ada,1
1,18,pred_glm,1
1,18,pred_glmaic,-1
1,18,pred_rf,1
1,18,pred_svm,1
1,19,pred_ada,1
1,19,pred_glm,1
1,19,pred_glmaic,1
1,19,pred_rf,1
1,19,pred_svm,1
-1,20,pred_ada,1
-1,20,pred_glm,1
-1,20,pred_glmaic,1
-1,20,pred_rf,1
-1,20,pred_svm,1
1,21,pred_ada,1
1,21,pred_glm,1
1,21,pred_glmaic,1
1,21,pred_rf,1
1,21,pred_svm,1
1,22,pred_ada,1
1,22,pred_glm,1
1,22,pred_glmaic,1
1,22,pred_rf,1
1,22,pred_svm,1
-1,23,pred_ada,1
-1,23,pred_glm,1
-1,23,pred_glmaic,1
-1,23,pred_rf,1
-1,23,pred_svm,1
1,24,pred_ada,1
1,24,pred_glm,1
1,24,pred_glmaic,1
1,24,pred_rf,1
1,24,pred_svm,1
-1,25,pred_ada,1
-1,25,pred_glm,1
-1,25,pred_glmaic,1
-1,25,pred_rf,1
-1,25,pred_svm,1
1,26,pred_ada,1
1,26,pred_glm,1
1,26,pred_glmaic,-1
1,26,pred_rf,1
1,26,pred_svm,1
1,27,pred_ada,1
1,27,pred_glm,1
1,27,pred_glmaic,1
1,27,pred_rf,1
1,27,pred_svm,1
1,28,pred_ada,-1
1,28,pred_glm,1
1,28,pred_glmaic,-1
1,28,pred_rf,-1
1,28,pred_svm,1
1,29,pred_ada,1
1,29,pred_glm,1
1,29,pred_glmaic,1
1,29,pred_rf,1
1,29,pred_svm,1
-1,30,pred_ada,1
-1,30,pred_glm,1
-1,30,pred_glmaic,1
-1,30,pred_rf,1
-1,30,pred_svm,1
-1,31,pred_ada,1
-1,31,pred_glm,1
-1,31,pred_glmaic,1
-1,31,pred_rf,1
-1,31,pred_svm,1
-1,32,pred_ada,1
-1,32,pred_glm,1
-1,32,pred_glmaic,1
-1,32,pred_rf,1
-1,32,pred_svm,1
-1,33,pred_ada,1
-1,33,pred_glm,1
