Date,Score
1/01/2019,-0.833333333
2/01/2019,-0.590909091
3/01/2019,-0.230555556
4/01/2019,-0.153759398
7/01/2019,-0.145833333
8/01/2019,0.266233766
9/01/2019,-0.358333333
10/01/2019,-0.439393939
11/01/2019,-0.5125
13/01/2019,-1
14/01/2019,-0.642857143
15/01/2019,0.04
16/01/2019,-0.183333333
17/01/2019,0.125
18/01/2019,-0.166666667
20/01/2019,-1
22/01/2019,-0.460606061
23/01/2019,-0.05952381
24/01/2019,-0.5
25/01/2019,-0.055555556
28/01/2019,-0.428571429
29/01/2019,-0.427083333
30/01/2019,-0.202380952
31/01/2019,-0.333333333
1/02/2019,-0.186813187
4/02/2019,-0.043771044
5/02/2019,0.023809524
6/02/2019,-0.5
7/02/2019,-0.366666667
8/02/2019,-0.738888889
11/02/2019,-0.1
12/02/2019,-0.306878307
13/02/2019,-0.162962963
14/02/2019,-0.613053613
15/02/2019,-0.103703704
18/02/2019,1
19/02/2019,-0.154761905
20/02/2019,0.063636364
21/02/2019,-0.362637363
22/02/2019,-0.133333333
25/02/2019,-0.227777778
26/02/2019,-0.208058608
27/02/2019,-0.311111111
28/02/2019,-0.074074074
1/03/2019,0.2
2/03/2019,0.6
4/03/2019,0.047619048
5/03/2019,-0.455555556
6/03/2019,-0.408465608
7/03/2019,-0.177489177
8/03/2019,-0.405555556
9/03/2019,0.1
11/03/2019,-0.46031746
12/03/2019,0.071428571
13/03/2019,0.363636364
14/03/2019,-0.296296296
15/03/2019,0
17/03/2019,0.5
18/03/2019,-0.314285714
19/03/2019,0.111111111
20/03/2019,-0.476190476
21/03/2019,-0.2
22/03/2019,-0.584415584
25/03/2019,-0.145833333
26/03/2019,0.051020408
27/03/2019,-0.141025641
28/03/2019,-0.35
29/03/2019,-0.033746556
31/03/2019,-1
1/04/2019,0.037037037
2/04/2019,-0.033333333
3/04/2019,0.021428571
4/04/2019,-0.5
5/04/2019,-0.189792663
8/04/2019,-0.277777778
9/04/2019,-0.171428571
10/04/2019,-0.252380952
11/04/2019,-0.428571429
12/04/2019,-0.533333333
13/04/2019,-0.428571429
15/04/2019,-0.3
16/04/2019,-0.237037037
17/04/2019,-0.357142857
18/04/2019,-0.016650017
19/04/2019,0
22/04/2019,-0.241666667
23/04/2019,-0.05
24/04/2019,0.666666667
25/04/2019,-0.194444444
26/04/2019,-0.341176471
29/04/2019,0
30/04/2019,0
1/05/2019,-0.138095238
2/05/2019,-0.077777778
3/05/2019,-0.121212121
5/05/2019,-1
6/05/2019,-0.773809524
7/05/2019,-0.316666667
8/05/2019,-0.08
9/05/2019,-0.213636364
10/05/2019,-0.345679012
12/05/2019,-0.75
13/05/2019,-0.463333333
14/05/2019,-0.222222222
15/05/2019,-0.037414966
16/05/2019,-0.571428571
17/05/2019,-0.076719577
19/05/2019,-1
20/05/2019,-0.388888889
21/05/2019,-0.18
22/05/2019,-0.408333333
23/05/2019,-0.303030303
24/05/2019,-0.2125
28/05/2019,-0.010204082
29/05/2019,-0.4375
30/05/2019,-0.457142857
31/05/2019,-0.435
2/06/2019,-0.357142857
3/06/2019,-0.458333333
4/06/2019,-0.385416667
5/06/2019,-0.075757576
6/06/2019,-0.128205128
7/06/2019,-0.235294118
10/06/2019,-0.481481481
11/06/2019,0.3
12/06/2019,-0.277777778
13/06/2019,-0.361904762
14/06/2019,-0.196832579
16/06/2019,0
17/06/2019,-0.111111111
18/06/2019,-0.4
19/06/2019,0.120987654
20/06/2019,-0.318181818
