Date,Score,Embedding,GType,BType,Method
2018-10-01,0.11809191149429446,PT,F,F,SemAxis
2018-10-01,0.02672277529194281,PT,NF,F,SemAxis
2018-10-01,-0.5537041993588223,PT,F,NF,SemAxis
2018-10-01,-0.6450733355611733,PT,NF,NF,SemAxis
2018-10-01,-0.21378248234694233,T,F,F,SemAxis
2018-10-01,-0.4575504069746275,T,NF,F,SemAxis
2018-10-01,-1.247825285607163,T,F,NF,SemAxis
2018-10-01,-1.4915932102348495,T,NF,NF,SemAxis
2018-10-01,144.20909421784773,PT,F,F,SentiProp
2018-10-01,143.51317220504316,PT,NF,F,SentiProp
2018-10-01,141.3470989908274,PT,F,NF,SentiProp
2018-10-01,140.64378904425064,PT,NF,NF,SentiProp
2018-10-01,142.56550395502998,T,F,F,SentiProp
2018-10-01,142.77266831032506,T,NF,F,SentiProp
2018-10-01,141.06872374304942,T,F,NF,SentiProp
2018-10-01,141.26696524574695,T,NF,NF,SentiProp
2018-10-02,1.1626997047266607,PT,F,F,SemAxis
2018-10-02,1.0908839067225913,PT,NF,F,SemAxis
2018-10-02,0.5586717016442575,PT,F,NF,SemAxis
2018-10-02,0.4868559036401881,PT,NF,NF,SemAxis
2018-10-02,2.0809909903763737,T,F,F,SemAxis
2018-10-02,1.9133041301692209,T,NF,F,SemAxis
2018-10-02,1.0878985180207639,T,F,NF,SemAxis
2018-10-02,0.9202116578136117,T,NF,NF,SemAxis
2018-10-02,123.75222323144885,PT,F,F,SentiProp
2018-10-02,123.47838305326509,PT,NF,F,SentiProp
2018-10-02,121.27633442801573,PT,F,NF,SentiProp
2018-10-02,120.99238545807445,PT,NF,NF,SentiProp
2018-10-02,122.53307755562537,T,F,F,SentiProp
2018-10-02,123.05111157288226,T,NF,F,SentiProp
2018-10-02,120.90275142797675,T,F,NF,SentiProp
2018-10-02,121.40887891808443,T,NF,NF,SentiProp
2018-10-03,1.3576191400774695,PT,F,F,SemAxis
2018-10-03,1.0411529104004562,PT,NF,F,SemAxis
2018-10-03,0.955666839814357,PT,F,NF,SemAxis
2018-10-03,0.6392006101373434,PT,NF,NF,SemAxis
2018-10-03,2.2561204656560174,T,F,F,SemAxis
2018-10-03,1.6451690118076943,T,NF,F,SemAxis
2018-10-03,1.7235112425209782,T,F,NF,SemAxis
2018-10-03,1.1125597886726544,T,NF,NF,SemAxis
2018-10-03,146.63882963097743,PT,F,F,SentiProp
2018-10-03,145.89238322409844,PT,NF,F,SentiProp
2018-10-03,143.91641292310777,PT,F,NF,SentiProp
2018-10-03,143.156339061778,PT,NF,NF,SentiProp
2018-10-03,144.79232852739904,T,F,F,SentiProp
2018-10-03,144.9770988750338,T,NF,F,SentiProp
2018-10-03,143.24260692891704,T,F,NF,SentiProp
2018-10-03,143.41068083169068,T,NF,NF,SentiProp
2018-10-04,0.7061331467087743,PT,F,F,SemAxis
2018-10-04,0.48773540820438116,PT,NF,F,SemAxis
2018-10-04,0.32636796086236103,PT,F,NF,SemAxis
2018-10-04,0.10797022235796874,PT,NF,NF,SemAxis
2018-10-04,1.2230769513144715,T,F,F,SemAxis
2018-10-04,0.7996734581105394,T,NF,F,SemAxis
2018-10-04,0.6404076521666661,T,F,NF,SemAxis
2018-10-04,0.21700415896273323,T,NF,NF,SemAxis
2018-10-04,127.0032170613455,PT,F,F,SentiProp
2018-10-04,126.54336191488026,PT,NF,F,SentiProp
2018-10-04,124.74777162906483,PT,F,NF,SentiProp
2018-10-04,124.2790344518045,PT,NF,NF,SentiProp
2018-10-04,125.29330240108133,T,F,F,SentiProp
2018-10-04,125.64786088417645,T,NF,F,SentiProp
2018-10-04,124.08384682425304,T,F,NF,SentiProp
2018-10-04,124.42743546465303,T,NF,NF,SentiProp
2018-10-05,0.6979586845683353,PT,F,F,SemAxis
2018-10-05,0.5114928009350902,PT,NF,F,SemAxis
2018-10-05,0.23061591498716483,PT,F,NF,SemAxis
2018-10-05,0.044150031353920205,PT,NF,NF,SemAxis
2018-10-05,1.1660800883779507,T,F,F,SemAxis
2018-10-05,0.8104008908685675,T,NF,F,SemAxis
2018-10-05,0.4415480782077378,T,F,NF,SemAxis
2018-10-05,0.08586888069835541,T,NF,NF,SemAxis
2018-10-05,125.8155273629344,PT,F,F,SentiProp
2018-10-05,125.0889339951704,PT,NF,F,SentiProp
2018-10-05,123.36059364809012,PT,F,NF,SentiProp
2018-10-05,122.62323816267684,PT,NF,NF,SentiProp
2018-10-05,124.20601405576673,T,F,F,SentiProp
2018-10-05,124.3149892950531,T,NF,F,SentiProp
2018-10-05,122.81028444569004,T,F,NF,SentiProp
2018-10-05,122.90763993875177,T,NF,NF,SentiProp
2018-10-06,0.692490591135941,PT,F,F,SemAxis
2018-10-06,0.6225472463575679,PT,NF,F,SemAxis
2018-10-06,0.1301429325565785,PT,F,NF,SemAxis
2018-10-06,0.06019958777820528,PT,NF,NF,SemAxis
2018-10-06,1.0639526659289618,T,F,F,SemAxis
2018-10-06,0.8867325640440009,T,NF,F,SemAxis
2018-10-06,0.18257781337763912,T,F,NF,SemAxis
2018-10-06,0.005357711492675835,T,NF,NF,SemAxis
2018-10-06,145.63113796933152,PT,F,F,SentiProp
2018-10-06,145.07243572452342,PT,NF,F,SentiProp
2018-10-06,142.81511457500855,PT,F,NF,SentiProp
2018-10-06,142.2459897271366,PT,NF,NF,SentiProp
2018-10-06,143.89094114933687,T,F,F,SentiProp
2018-10-06,144.26031336703198,T,NF,F,SentiProp
2018-10-06,142.22075987192613,T,F,NF,SentiProp
2018-10-06,142.57889096384972,T,NF,NF,SentiProp
2018-10-08,0.8993433638011388,PT,F,F,SemAxis
2018-10-08,0.7422242356414789,PT,NF,F,SemAxis
2018-10-08,0.41386231316088545,PT,F,NF,SemAxis
2018-10-08,0.25674318500122517,PT,NF,NF,SemAxis
2018-10-08,1.429654909054244,T,F,F,SemAxis
2018-10-08,1.0891023659781471,T,NF,F,SemAxis
2018-10-08,0.7097829495927181,T,F,NF,SemAxis
2018-10-08,0.3692304065166207,T,NF,NF,SemAxis
2018-10-08,141.0099463658227,PT,F,F,SentiProp
2018-10-08,140.54276624710582,PT,NF,F,SentiProp
2018-10-08,138.45699155546183,PT,F,NF,SentiProp
2018-10-08,137.98376454462775,PT,NF,NF,SentiProp
2018-10-08,139.26951061221808,T,F,F,SentiProp
2018-10-08,139.75511815534526,T,NF,F,SentiProp
2018-10-08,137.8266738329352,T,F,NF,SentiProp
2018-10-08,138.30312445524274,T,NF,NF,SentiProp
2018-10-09,1.6790340034687627,PT,F,F,SemAxis
2018-10-09,1.521211713115565,PT,NF,F,SemAxis
2018-10-09,1.2109119390413252,PT,F,NF,SemAxis
2018-10-09,1.053089648688127,PT,NF,NF,SemAxis
2018-10-09,2.9964763395574336,T,F,F,SemAxis
2018-10-09,2.74503665312021,T,NF,F,SemAxis
2018-10-09,2.3269170894082527,T,F,NF,SemAxis
2018-10-09,2.0754774029710292,T,NF,NF,SemAxis
2018-10-09,144.104770190571,PT,F,F,SentiProp
2018-10-09,143.68657827376052,PT,NF,F,SentiProp
2018-10-09,141.44759841844518,PT,F,NF,SentiProp
2018-10-09,141.02346964435196,PT,NF,NF,SentiProp
2018-10-09,142.64248386279044,T,F,F,SentiProp
2018-10-09,143.10095465044915,T,NF,F,SentiProp
2018-10-09,140.99222154391467,T,F,NF,SentiProp
2018-10-09,141.44212746477086,T,NF,NF,SentiProp
2018-10-10,0.9025061355137964,PT,F,F,SemAxis
2018-10-10,0.6892064266853914,PT,NF,F,SemAxis
2018-10-10,0.4469464301932765,PT,F,NF,SemAxis
2018-10-10,0.23364672136487227,PT,NF,NF,SemAxis
2018-10-10,1.5376430814097546,T,F,F,SemAxis
2018-10-10,1.0951340581350486,T,NF,F,SemAxis
2018-10-10,0.8617734701846521,T,F,NF,SemAxis
2018-10-10,0.41926444690994674,T,NF,NF,SemAxis
2018-10-10,119.65455479688835,PT,F,F,SentiProp
2018-10-10,119.2200816283629,PT,NF,F,SentiProp
2018-10-10,117.12688095600994,PT,F,NF,SentiProp
2018-10-10,116.68678961197236,PT,NF,NF,SentiProp
2018-10-10,118.30019966053946,T,F,F,SentiProp
2018-10-10,118.5764739655157,T,NF,F,SentiProp
2018-10-10,116.61583813407715,T,F,NF,SentiProp
2018-10-10,116.8853561433706,T,NF,NF,SentiProp
2018-10-11,1.3801630355251369,PT,F,F,SemAxis
2018-10-11,1.1922116238300626,PT,NF,F,SemAxis
2018-10-11,1.055552123395265,PT,F,NF,SemAxis
2018-10-11,0.8676007117001914,PT,NF,NF,SemAxis
2018-10-11,2.5501944369550924,T,F,F,SemAxis
2018-10-11,2.1977442570631553,T,NF,F,SemAxis
2018-10-11,2.125955278811846,T,F,NF,SemAxis
2018-10-11,1.7735050989199082,T,NF,NF,SemAxis
2018-10-11,123.3866506501951,PT,F,F,SentiProp
2018-10-11,122.92308348412658,PT,NF,F,SentiProp
2018-10-11,121.21027340644174,PT,F,NF,SentiProp
2018-10-11,120.7414472314631,PT,NF,NF,SentiProp
2018-10-11,121.79564285841404,T,F,F,SentiProp
2018-10-11,122.06805255535369,T,NF,F,SentiProp
2018-10-11,120.62358165842214,T,F,NF,SentiProp
2018-10-11,120.8905223642552,T,NF,NF,SentiProp
2018-10-12,0.8110725628950856,PT,F,F,SemAxis
2018-10-12,0.6066109205735958,PT,NF,F,SemAxis
2018-10-12,0.4455610645316406,PT,F,NF,SemAxis
2018-10-12,0.2410994222101512,PT,NF,NF,SemAxis
2018-10-12,1.3467577990232373,T,F,F,SemAxis
2018-10-12,0.9071817678443937,T,NF,F,SemAxis
2018-10-12,0.8545119589474096,T,F,NF,SemAxis
2018-10-12,0.4149359277685653,T,NF,NF,SemAxis
2018-10-12,109.35816297438016,PT,F,F,SentiProp
2018-10-12,108.85280778652589,PT,NF,F,SentiProp
2018-10-12,107.28674688559978,PT,F,NF,SentiProp
2018-10-12,106.77441916511991,PT,NF,NF,SentiProp
2018-10-12,107.96659212073976,T,F,F,SentiProp
2018-10-12,108.1528347706479,T,NF,F,SentiProp
2018-10-12,106.75876777467708,T,F,NF,SentiProp
2018-10-12,106.9373457636976,T,NF,NF,SentiProp
2018-10-13,0.7408004727243467,PT,F,F,SemAxis
2018-10-13,0.6028865361726836,PT,NF,F,SemAxis
2018-10-13,0.1031114431560295,PT,F,NF,SemAxis
2018-10-13,-0.034802493395632315,PT,NF,NF,SemAxis
2018-10-13,1.1933194891143355,T,F,F,SemAxis
2018-10-13,0.8594312782271336,T,NF,F,SemAxis
2018-10-13,0.23146036513421386,T,F,NF,SemAxis
2018-10-13,-0.10242784575298833,T,NF,NF,SemAxis
2018-10-13,152.54439786865169,PT,F,F,SentiProp
2018-10-13,152.0042493382906,PT,NF,F,SentiProp
2018-10-13,149.4905734545305,PT,F,NF,SentiProp
2018-10-13,148.94003565421238,PT,NF,NF,SentiProp
2018-10-13,150.58078348490082,T,F,F,SentiProp
2018-10-13,150.98224270516596,T,NF,F,SentiProp
2018-10-13,148.86759082569424,T,F,NF,SentiProp
2018-10-13,149.26307773928633,T,NF,NF,SentiProp
2018-10-15,1.30486302691265,PT,F,F,SemAxis
2018-10-15,1.1970132067296613,PT,NF,F,SemAxis
2018-10-15,0.8154067211257889,PT,F,NF,SemAxis
2018-10-15,0.7075569009427999,PT,NF,NF,SemAxis
2018-10-15,2.4271593688108535,T,F,F,SemAxis
2018-10-15,2.2110605107188372,T,NF,F,SemAxis
2018-10-15,1.669998726071032,T,F,NF,SemAxis
2018-10-15,1.4538998679790145,T,NF,NF,SemAxis
2018-10-15,137.9256289921864,PT,F,F,SentiProp
2018-10-15,137.42446861628616,PT,NF,F,SentiProp
2018-10-15,135.36246828273804,PT,F,NF,SentiProp
2018-10-15,134.85434546883,PT,NF,NF,SentiProp
2018-10-15,136.30106527368676,T,F,F,SentiProp
2018-10-15,136.66968222368286,T,NF,F,SentiProp
2018-10-15,134.85615295886544,T,F,NF,SentiProp
2018-10-15,135.21767047695232,T,NF,NF,SentiProp
2018-10-16,1.6325834451951913,PT,F,F,SemAxis
2018-10-16,1.338992581021434,PT,NF,F,SemAxis
2018-10-16,1.1667336742148748,PT,F,NF,SemAxis
2018-10-16,0.8731428100411184,PT,NF,NF,SemAxis
2018-10-16,2.8442158214769124,T,F,F,SemAxis
2018-10-16,2.272490944693082,T,NF,F,SemAxis
2018-10-16,2.1782755890589716,T,F,NF,SemAxis
2018-10-16,1.6065507122751417,T,NF,NF,SemAxis
2018-10-16,139.90187679571898,PT,F,F,SentiProp
2018-10-16,139.43858666997036,PT,NF,F,SentiProp
2018-10-16,137.34812110062592,PT,F,NF,SentiProp
2018-10-16,136.8749310207768,PT,NF,NF,SentiProp
2018-10-16,138.52196820465687,T,F,F,SentiProp
2018-10-16,138.9719710576672,T,NF,F,SentiProp
2018-10-16,137.00053845864042,T,F,NF,SentiProp
2018-10-16,137.442013607503,T,NF,NF,SentiProp
2018-10-17,1.5498279722912194,PT,F,F,SemAxis
2018-10-17,1.221840164029101,PT,NF,F,SemAxis
2018-10-17,1.0854531406341625,PT,F,NF,SemAxis
2018-10-17,0.7574653323720435,PT,NF,NF,SemAxis
2018-10-17,2.4861938709717926,T,F,F,SemAxis
2018-10-17,1.814741710086192,T,NF,F,SemAxis
2018-10-17,1.896126470934939,T,F,NF,SemAxis
2018-10-17,1.2246743100493411,T,NF,NF,SemAxis
2018-10-17,149.5565895964593,PT,F,F,SentiProp
2018-10-17,148.73554285701985,PT,NF,F,SentiProp
2018-10-17,146.86592126143452,PT,F,NF,SentiProp
2018-10-17,146.03421147067183,PT,NF,NF,SentiProp
2018-10-17,147.66452694143615,T,F,F,SentiProp
2018-10-17,147.79566039008978,T,NF,F,SentiProp
2018-10-17,146.2871453725864,T,F,NF,SentiProp
2018-10-17,146.40786541336195,T,NF,NF,SentiProp
2018-10-18,0.5717535124557004,PT,F,F,SemAxis
2018-10-18,0.37968355756603817,PT,NF,F,SemAxis
2018-10-18,0.1690243643400055,PT,F,NF,SemAxis
2018-10-18,-0.023045590549656467,PT,NF,NF,SemAxis
2018-10-18,0.7962143181580909,T,F,F,SemAxis
2018-10-18,0.3945863701636364,T,NF,F,SemAxis
2018-10-18,0.2744586289759403,T,F,NF,SemAxis
2018-10-18,-0.12716931901851206,T,NF,NF,SemAxis
2018-10-18,124.31653847639014,PT,F,F,SentiProp
2018-10-18,123.68035596494977,PT,NF,F,SentiProp
2018-10-18,122.0562941638032,PT,F,NF,SentiProp
2018-10-18,121.41262916904763,PT,NF,NF,SentiProp
2018-10-18,122.8126409110565,T,F,F,SentiProp
2018-10-18,122.93288148690286,T,NF,F,SentiProp
2018-10-18,121.62584349175593,T,F,NF,SentiProp
2018-10-18,121.73589838120321,T,NF,NF,SentiProp
2018-10-19,1.3847128928743901,PT,F,F,SemAxis
2018-10-19,1.2167625090228775,PT,NF,F,SemAxis
2018-10-19,0.8479154257190835,PT,F,NF,SemAxis
2018-10-19,0.6799650418675711,PT,NF,NF,SemAxis
2018-10-19,2.2642027077536078,T,F,F,SemAxis
2018-10-19,1.9062720276668914,T,NF,F,SemAxis
2018-10-19,1.4368743947848805,T,F,NF,SemAxis
2018-10-19,1.0789437146981655,T,NF,NF,SemAxis
2018-10-19,125.54381604048503,PT,F,F,SentiProp
2018-10-19,125.15549897205615,PT,NF,F,SentiProp
2018-10-19,122.98560921032325,PT,F,NF,SentiProp
2018-10-19,122.59266270980238,PT,NF,NF,SentiProp
2018-10-19,124.16224040016334,T,F,F,SentiProp
2018-10-19,124.55881245204216,T,NF,F,SentiProp
2018-10-19,122.3798062968278,T,F,NF,SentiProp
2018-10-19,122.7712327329341,T,NF,NF,SentiProp
2018-10-20,1.3020180015077951,PT,F,F,SemAxis
2018-10-20,1.1712614672982444,PT,NF,F,SemAxis
2018-10-20,0.5625754988246789,PT,F,NF,SemAxis
